ancestry	filter	af_limit	total_vars	filtered_vars	proportion_removed
afr	exac_global_nonsing_filter	0.01	13821.07	1799	0.869836416427961
amr	exac_global_nonsing_filter	0.01	12420.21	458.57	0.96307872411175
eas	exac_global_nonsing_filter	0.01	12642.85	594.88	0.952947318049332
nfe	exac_global_nonsing_filter	0.01	12136.5	356.19	0.970651340996169
sas	exac_global_nonsing_filter	0.01	12413.7	536.22	0.95680417603132
afr	exac_popmax_nonsing_filter	0.01	13821.07	490.67	0.964498407142139
amr	exac_popmax_nonsing_filter	0.01	12420.21	266	0.97858329287508
eas	exac_popmax_nonsing_filter	0.01	12642.85	329	0.973977386427902
nfe	exac_popmax_nonsing_filter	0.01	12136.5	289.16	0.976174350100935
sas	exac_popmax_nonsing_filter	0.01	12413.7	364.21	0.970660641065919
afr	esp_global_nonsing_filter	0.05	13821.07	3091.13	0.776346549145616
amr	esp_global_nonsing_filter	0.05	12420.21	1841.25	0.851753714309178
eas	esp_global_nonsing_filter	0.05	12642.85	2040.78	0.838582281684905
nfe	esp_global_nonsing_filter	0.05	12136.5	1563.52	0.871172084208792
sas	esp_global_nonsing_filter	0.05	12413.7	1815.41	0.853757542070454
afr	esp_popmax_nonsing_filter	0.05	13821.07	2240.03	0.83792644129579
amr	esp_popmax_nonsing_filter	0.05	12420.21	1673.22	0.86528247106933
eas	esp_popmax_nonsing_filter	0.05	12642.85	1879.38	0.851348390592311
nfe	esp_popmax_nonsing_filter	0.05	12136.5	1443.86	0.881031598895893
sas	esp_popmax_nonsing_filter	0.05	12413.7	1676.54	0.864944375971709
afr	kg_global_nonsing_filter	0.05	13821.07	2568.34	0.81417212994363
amr	kg_global_nonsing_filter	0.05	12420.21	1197.52	0.90358295069085
eas	kg_global_nonsing_filter	0.05	12642.85	1139.15	0.909897689207734
nfe	kg_global_nonsing_filter	0.05	12136.5	1165.3	0.903983850368722
sas	kg_global_nonsing_filter	0.05	12413.7	1236.54	0.90038908625148
afr	kg_popmax_nonsing_filter	0.05	13821.07	1552.77	0.887651969058836
amr	kg_popmax_nonsing_filter	0.05	12420.21	818.03	0.934137184475947
eas	kg_popmax_nonsing_filter	0.05	12642.85	860.21	0.931960752520199
nfe	kg_popmax_nonsing_filter	0.05	12136.5	867.37	0.92853211387138
sas	kg_popmax_nonsing_filter	0.05	12413.7	951.88	0.923320202679298
afr	exac_global_nonsing_filter	0.05	13821.07	2838.02	0.794659892468528
amr	exac_global_nonsing_filter	0.05	12420.21	941	0.924236385697182
eas	exac_global_nonsing_filter	0.05	12642.85	1025.33	0.918900406158422
nfe	exac_global_nonsing_filter	0.05	12136.5	766.08	0.9368780126066
sas	exac_global_nonsing_filter	0.05	12413.7	952.66	0.923257368874711
afr	exac_popmax_nonsing_filter	0.05	13821.07	1320.83	0.904433593057556
amr	exac_popmax_nonsing_filter	0.05	12420.21	489.06	0.96062385418604
eas	exac_popmax_nonsing_filter	0.05	12642.85	543.16	0.957038167818174
nfe	exac_popmax_nonsing_filter	0.05	12136.5	579.13	0.952281959378734
sas	exac_popmax_nonsing_filter	0.05	12413.7	651.06	0.9475531066483
